foe_ship_time,foe_ship_id,foe_ship_x,foe_ship_y
668,2,245.6807440905926,538.733177935606
668,3,214.48814277253337,528.0177888630496
670,2,245.80482386802473,538.6707733501239
670,3,214.6270023726782,528.0149366876678
672,2,245.92890364545684,538.6083687646418
672,3,214.76586197282302,528.012084512286
674,2,246.05298342288896,538.5459641791597
674,3,214.90472157296784,528.0092323369042
676,2,246.17706320032107,538.4835595936776
676,3,215.04358117311267,528.0063801615224
678,2,246.3011429777532,538.4211550081955
678,3,215.1824407732575,528.0035279861406
680,2,246.4252227551853,538.3587504227133
680,3,215.32130037340232,528.0006758107588
682,2,246.54930253261742,538.2963458372312
682,3,215.46015997354715,527.997823635377
684,2,246.67338231004953,538.2339412517491
684,3,215.59901957369198,527.9949714599952
686,2,246.79746208748165,538.171536666267
686,3,215.7378791738368,527.9921192846134
688,2,246.92154186491376,538.1091320807849
688,3,215.87673877398163,527.9892671092316
690,2,247.04562164234588,538.0467274953028
690,3,216.01559837412645,527.9864149338498
692,2,247.169701419778,537.9843229098207
